<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIP,20190808,4.51,4.57,4.48,4.54,14270,4.93,5,4.9,4.97,0,0,0
VIP,20190807,4.51,4.52,4.47,4.48,19330,4.93,4.94,4.89,4.9,0,0,16150
VIP,20190806,4.48,4.51,4.43,4.51,38040,4.9,4.93,4.85,4.93,0,0,19700
VIP,20190805,4.48,4.55,4.43,4.48,65670,4.9,4.98,4.85,4.9,0,0,9000
VIP,20190802,4.49,4.49,4.45,4.48,50540,4.91,4.91,4.87,4.9,0,0,38000
VIP,20190801,4.51,4.51,4.48,4.49,87520,4.93,4.93,4.9,4.91,0,0,48580
VIP,20190731,4.48,4.51,4.48,4.51,30340,4.9,4.93,4.9,4.93,0,0,11000
VIP,20190730,4.74,4.74,4.48,4.57,13490,5.19,5.19,4.9,5,0,0,10270
VIP,20190729,4.76,4.8,4.47,4.75,412260,5.21,5.25,4.89,5.2,0,0,45000
VIP,20190726,4.75,5.07,4.75,4.8,53850,5.2,5.55,5.2,5.25,0,0,10000
VIP,20190725,5.04,5.09,4.98,4.98,250330,5.51,5.57,5.45,5.45,0,0,0
VIP,20190724,5.03,5.15,4.89,5.1,35180,5.51,5.64,5.35,5.58,0,0,0
VIP,20190723,5.12,5.19,5.12,5.18,4910,5.6,5.68,5.6,5.67,0,0,0
VIP,20190722,5.16,5.23,5.16,5.19,7600,5.65,5.72,5.65,5.68,0,0,40
VIP,20190719,5.16,5.21,5.13,5.21,7680,5.65,5.7,5.61,5.7,0,0,0
VIP,20190718,5.13,5.21,5.13,5.21,4420,5.62,5.7,5.62,5.7,0,0,0
VIP,20190717,5.25,5.28,5.12,5.17,23260,5.75,5.78,5.61,5.66,0,0,0
VIP,20190716,5.35,5.38,5.29,5.28,44590,5.85,5.88,5.78,5.78,0,0,0
VIP,20190715,5.35,5.35,5.29,5.34,16840,5.85,5.85,5.78,5.84,0,0,0
VIP,20190712,5.34,5.34,5.28,5.34,5490,5.85,5.85,5.78,5.84,0,0,0
VIP,20190711,5.3,5.38,5.25,5.27,128180,5.8,5.89,5.75,5.77,0,0,359800
VIP,20190710,5.16,5.17,5.11,5.17,372830,5.65,5.66,5.6,5.66,0,0,359800
VIP,20190709,5.15,5.17,5.07,5.16,119630,5.64,5.66,5.55,5.65,0,0,50000
VIP,20190708,5.16,5.19,5.13,5.18,539360,5.65,5.68,5.62,5.67,0,0,0
VIP,20190705,5.17,5.18,4.85,5.17,25530,5.65,5.66,5.3,5.66,0,0,1140
VIP,20190704,5.11,5.16,5.11,5.16,19930,5.6,5.65,5.6,5.64,0,0,0
VIP,20190703,5.17,5.17,5.16,5.16,1640,5.65,5.65,5.64,5.65,0,0,0
VIP,20190702,5.18,5.18,5.08,5.16,12790,5.66,5.66,5.55,5.64,0,7100,0
VIP,20190701,5.17,5.17,5.12,5.16,14020,5.65,5.65,5.6,5.64,0,0,0
VIP,20190628,5.19,5.19,5.08,5.12,25890,5.68,5.68,5.56,5.6,0,0,0
